>>> EXPECTED ANSWER:
('R2D0', 'C0PO', 'bedrock')
('R2D27', 'C27PO', 'brick')
('R2D27', 'C27PO', 'concrete')
('R2D27', 'C27PO', 'glass')
('R2D27', 'C27PO', 'gold')
('R2D27', 'C27PO', 'obsidian')
('R2D27', 'C27PO', 'sandstone')
('R2D28', 'C28PO', 'bedrock')
('R2D28', 'C28PO', 'brick')
('R2D28', 'C28PO', 'concrete')
('R2D28', 'C28PO', 'glass')
('R2D28', 'C28PO', 'obsidian')
('R2D28', 'C28PO', 'sandstone')
('R2D28', 'C28PO', 'stone')
('R2D29', 'C29PO', 'bedrock')
('R2D29', 'C29PO', 'brick')
('R2D29', 'C29PO', 'concrete')
('R2D29', 'C29PO', 'glass')
('R2D29', 'C29PO', 'gold')
('R2D29', 'C29PO', 'marble')
('R2D29', 'C29PO', 'stone')
('R2D29', 'C29PO', 'wood')
('R2D3', 'C3PO', 'bedrock')
('R2D3', 'C3PO', 'concrete')
('R2D3', 'C3PO', 'marble')
('R2D3', 'C3PO', 'obsidian')
('R2D3', 'C3PO', 'sandstone')
('R2D3', 'C3PO', 'stone')
('R2D3', 'C3PO', 'wood')
('R2D30', 'C30PO', 'bedrock')
('R2D30', 'C30PO', 'brick')
('R2D30', 'C30PO', 'concrete')
('R2D30', 'C30PO', 'gold')
('R2D30', 'C30PO', 'obsidian')
('R2D30', 'C30PO', 'sandstone')
('R2D30', 'C30PO', 'stone')
('R2D30', 'C30PO', 'wood')
('R2D31', 'C31PO', 'bedrock')
('R2D31', 'C31PO', 'brick')
('R2D31', 'C31PO', 'gold')
('R2D31', 'C31PO', 'obsidian')
('R2D31', 'C31PO', 'sandstone')
('R2D31', 'C31PO', 'stone')
('R2D32', 'C32PO', 'bedrock')
('R2D32', 'C32PO', 'concrete')
('R2D32', 'C32PO', 'glass')
('R2D32', 'C32PO', 'gold')
('R2D32', 'C32PO', 'obsidian')
('R2D32', 'C32PO', 'sandstone')
('R2D32', 'C32PO', 'stone')
('R2D32', 'C32PO', 'wood')
('R2D33', 'C33PO', 'bedrock')
('R2D33', 'C33PO', 'brick')
('R2D33', 'C33PO', 'concrete')
('R2D33', 'C33PO', 'glass')
('R2D33', 'C33PO', 'gold')
('R2D33', 'C33PO', 'marble')
('R2D33', 'C33PO', 'obsidian')
('R2D33', 'C33PO', 'sandstone')
('R2D33', 'C33PO', 'stone')
('R2D33', 'C33PO', 'wood')
('R2D34', 'C34PO', 'bedrock')
('R2D34', 'C34PO', 'brick')
('R2D34', 'C34PO', 'concrete')
('R2D34', 'C34PO', 'glass')
('R2D34', 'C34PO', 'gold')
('R2D34', 'C34PO', 'marble')
('R2D34', 'C34PO', 'obsidian')
('R2D34', 'C34PO', 'sandstone')
('R2D34', 'C34PO', 'stone')
('R2D34', 'C34PO', 'wood')
('R2D35', 'C35PO', 'bedrock')
('R2D35', 'C35PO', 'concrete')
('R2D35', 'C35PO', 'gold')
('R2D35', 'C35PO', 'marble')
('R2D35', 'C35PO', 'sandstone')
('R2D35', 'C35PO', 'stone')
('R2D35', 'C35PO', 'wood')
('R2D36', 'C36PO', 'bedrock')
('R2D36', 'C36PO', 'brick')
('R2D36', 'C36PO', 'concrete')
('R2D36', 'C36PO', 'glass')
('R2D36', 'C36PO', 'marble')
('R2D36', 'C36PO', 'obsidian')
('R2D36', 'C36PO', 'sandstone')
('R2D36', 'C36PO', 'stone')
('R2D36', 'C36PO', 'wood')
('R2D37', 'C37PO', 'bedrock')
('R2D37', 'C37PO', 'brick')
('R2D37', 'C37PO', 'concrete')
('R2D37', 'C37PO', 'glass')
('R2D37', 'C37PO', 'obsidian')
('R2D37', 'C37PO', 'sandstone')
('R2D37', 'C37PO', 'stone')
('R2D38', 'C38PO', 'bedrock')
('R2D38', 'C38PO', 'brick')
('R2D38', 'C38PO', 'concrete')
('R2D38', 'C38PO', 'glass')
('R2D38', 'C38PO', 'gold')
('R2D38', 'C38PO', 'marble')
('R2D38', 'C38PO', 'obsidian')
('R2D38', 'C38PO', 'sandstone')
('R2D38', 'C38PO', 'stone')
('R2D38', 'C38PO', 'wood')
('R2D39', 'C39PO', 'bedrock')
('R2D39', 'C39PO', 'brick')
('R2D39', 'C39PO', 'concrete')
('R2D39', 'C39PO', 'glass')
('R2D39', 'C39PO', 'gold')
('R2D39', 'C39PO', 'marble')
('R2D39', 'C39PO', 'obsidian')
('R2D39', 'C39PO', 'stone')
('R2D39', 'C39PO', 'wood')
('R2D4', 'C4PO', 'bedrock')
('R2D4', 'C4PO', 'brick')
('R2D4', 'C4PO', 'concrete')
('R2D4', 'C4PO', 'glass')
('R2D4', 'C4PO', 'gold')
('R2D4', 'C4PO', 'marble')
('R2D4', 'C4PO', 'obsidian')
('R2D4', 'C4PO', 'sandstone')
('R2D4', 'C4PO', 'stone')
('R2D4', 'C4PO', 'wood')
('R2D40', 'C40PO', 'bedrock')
('R2D40', 'C40PO', 'concrete')
('R2D40', 'C40PO', 'glass')
('R2D40', 'C40PO', 'gold')
('R2D40', 'C40PO', 'marble')
('R2D40', 'C40PO', 'obsidian')
('R2D40', 'C40PO', 'sandstone')
('R2D40', 'C40PO', 'stone')
('R2D40', 'C40PO', 'wood')
('R2D41', 'C41PO', 'bedrock')
('R2D41', 'C41PO', 'brick')
('R2D41', 'C41PO', 'concrete')
('R2D41', 'C41PO', 'gold')
('R2D41', 'C41PO', 'obsidian')
('R2D41', 'C41PO', 'stone')
('R2D42', 'C42PO', 'bedrock')
('R2D42', 'C42PO', 'brick')
('R2D42', 'C42PO', 'concrete')
('R2D42', 'C42PO', 'glass')
('R2D42', 'C42PO', 'gold')
('R2D42', 'C42PO', 'marble')
('R2D42', 'C42PO', 'obsidian')
('R2D42', 'C42PO', 'sandstone')
('R2D42', 'C42PO', 'stone')
('R2D42', 'C42PO', 'wood')
('R2D43', 'C43PO', 'bedrock')
('R2D43', 'C43PO', 'brick')
('R2D43', 'C43PO', 'gold')
('R2D43', 'C43PO', 'obsidian')
('R2D43', 'C43PO', 'sandstone')
('R2D43', 'C43PO', 'stone')
('R2D44', 'C44PO', 'bedrock')
('R2D44', 'C44PO', 'brick')
('R2D44', 'C44PO', 'concrete')
('R2D44', 'C44PO', 'glass')
('R2D44', 'C44PO', 'gold')
('R2D44', 'C44PO', 'marble')
('R2D44', 'C44PO', 'obsidian')
('R2D44', 'C44PO', 'sandstone')
('R2D44', 'C44PO', 'stone')
('R2D44', 'C44PO', 'wood')
('R2D45', 'C45PO', 'bedrock')
('R2D45', 'C45PO', 'brick')
('R2D45', 'C45PO', 'concrete')
('R2D45', 'C45PO', 'glass')
('R2D45', 'C45PO', 'marble')
('R2D45', 'C45PO', 'stone')
('R2D46', 'C46PO', 'bedrock')
('R2D46', 'C46PO', 'brick')
('R2D46', 'C46PO', 'concrete')
('R2D46', 'C46PO', 'glass')
('R2D46', 'C46PO', 'gold')
('R2D46', 'C46PO', 'obsidian')
('R2D46', 'C46PO', 'sandstone')
('R2D46', 'C46PO', 'stone')
('R2D46', 'C46PO', 'wood')
('R2D47', 'C47PO', 'bedrock')
('R2D47', 'C47PO', 'brick')
('R2D47', 'C47PO', 'concrete')
('R2D47', 'C47PO', 'gold')
('R2D47', 'C47PO', 'obsidian')
('R2D47', 'C47PO', 'sandstone')
('R2D48', 'C48PO', 'bedrock')
('R2D48', 'C48PO', 'brick')
('R2D48', 'C48PO', 'concrete')
('R2D48', 'C48PO', 'glass')
('R2D48', 'C48PO', 'obsidian')
('R2D48', 'C48PO', 'sandstone')
('R2D49', 'C49PO', 'bedrock')
('R2D49', 'C49PO', 'brick')
('R2D49', 'C49PO', 'glass')
('R2D49', 'C49PO', 'gold')
('R2D49', 'C49PO', 'obsidian')
('R2D49', 'C49PO', 'sandstone')
('R2D49', 'C49PO', 'stone')
('R2D49', 'C49PO', 'wood')
('R2D5', 'C5PO', 'bedrock')
('R2D5', 'C5PO', 'brick')
('R2D5', 'C5PO', 'concrete')
('R2D5', 'C5PO', 'glass')
('R2D5', 'C5PO', 'gold')
('R2D5', 'C5PO', 'marble')
('R2D5', 'C5PO', 'obsidian')
('R2D5', 'C5PO', 'sandstone')
('R2D5', 'C5PO', 'stone')
('R2D5', 'C5PO', 'wood')
('R2D50', 'C50PO', 'bedrock')
('R2D50', 'C50PO', 'brick')
('R2D50', 'C50PO', 'concrete')
('R2D50', 'C50PO', 'gold')
('R2D50', 'C50PO', 'marble')
('R2D50', 'C50PO', 'sandstone')
('R2D50', 'C50PO', 'stone')
('R2D50', 'C50PO', 'wood')
('R2D51', 'C51PO', 'bedrock')
('R2D51', 'C51PO', 'brick')
('R2D51', 'C51PO', 'concrete')
('R2D51', 'C51PO', 'gold')
('R2D51', 'C51PO', 'marble')
('R2D51', 'C51PO', 'stone')
('R2D51', 'C51PO', 'wood')
('R2D52', 'C52PO', 'bedrock')
('R2D52', 'C52PO', 'brick')
('R2D52', 'C52PO', 'concrete')
('R2D52', 'C52PO', 'glass')
('R2D52', 'C52PO', 'gold')
('R2D52', 'C52PO', 'marble')
('R2D52', 'C52PO', 'obsidian')
('R2D52', 'C52PO', 'sandstone')
('R2D52', 'C52PO', 'stone')
('R2D52', 'C52PO', 'wood')
('R2D53', 'C53PO', 'bedrock')
('R2D53', 'C53PO', 'concrete')
('R2D53', 'C53PO', 'glass')
('R2D53', 'C53PO', 'marble')
('R2D53', 'C53PO', 'obsidian')
('R2D53', 'C53PO', 'sandstone')
('R2D53', 'C53PO', 'stone')
('R2D53', 'C53PO', 'wood')
('R2D54', 'C54PO', 'bedrock')
('R2D54', 'C54PO', 'brick')
('R2D54', 'C54PO', 'concrete')
('R2D54', 'C54PO', 'glass')
('R2D54', 'C54PO', 'marble')
('R2D54', 'C54PO', 'obsidian')
('R2D54', 'C54PO', 'sandstone')
('R2D55', 'C55PO', 'bedrock')
('R2D55', 'C55PO', 'brick')
('R2D55', 'C55PO', 'concrete')
('R2D55', 'C55PO', 'glass')
('R2D55', 'C55PO', 'gold')
('R2D55', 'C55PO', 'marble')
('R2D55', 'C55PO', 'obsidian')
('R2D55', 'C55PO', 'sandstone')
('R2D55', 'C55PO', 'stone')
('R2D55', 'C55PO', 'wood')
('R2D56', 'C56PO', 'bedrock')
('R2D56', 'C56PO', 'brick')
('R2D56', 'C56PO', 'concrete')
('R2D56', 'C56PO', 'gold')
('R2D56', 'C56PO', 'marble')
('R2D56', 'C56PO', 'sandstone')
('R2D56', 'C56PO', 'stone')
('R2D56', 'C56PO', 'wood')
('R2D57', 'C57PO', 'bedrock')
('R2D57', 'C57PO', 'brick')
('R2D57', 'C57PO', 'concrete')
('R2D57', 'C57PO', 'glass')
('R2D57', 'C57PO', 'gold')
('R2D57', 'C57PO', 'marble')
('R2D57', 'C57PO', 'stone')
('R2D57', 'C57PO', 'wood')
('R2D58', 'C58PO', 'bedrock')
('R2D58', 'C58PO', 'brick')
('R2D58', 'C58PO', 'concrete')
('R2D58', 'C58PO', 'glass')
('R2D58', 'C58PO', 'gold')
('R2D58', 'C58PO', 'marble')
('R2D58', 'C58PO', 'obsidian')
('R2D58', 'C58PO', 'sandstone')
('R2D58', 'C58PO', 'stone')
('R2D58', 'C58PO', 'wood')
('R2D59', 'C59PO', 'bedrock')
('R2D59', 'C59PO', 'glass')
('R2D59', 'C59PO', 'marble')
('R2D59', 'C59PO', 'obsidian')
('R2D59', 'C59PO', 'sandstone')
('R2D59', 'C59PO', 'stone')
('R2D6', 'C6PO', 'bedrock')
('R2D6', 'C6PO', 'brick')
('R2D6', 'C6PO', 'glass')
('R2D6', 'C6PO', 'gold')
('R2D6', 'C6PO', 'marble')
('R2D6', 'C6PO', 'obsidian')
('R2D6', 'C6PO', 'stone')
('R2D6', 'C6PO', 'wood')
('R2D60', 'C60PO', 'bedrock')
('R2D60', 'C60PO', 'concrete')
('R2D60', 'C60PO', 'glass')
('R2D60', 'C60PO', 'marble')
('R2D60', 'C60PO', 'sandstone')
('R2D60', 'C60PO', 'stone')
('R2D61', 'C61PO', 'bedrock')
('R2D61', 'C61PO', 'brick')
('R2D61', 'C61PO', 'concrete')
('R2D61', 'C61PO', 'glass')
('R2D61', 'C61PO', 'gold')
('R2D61', 'C61PO', 'marble')
('R2D61', 'C61PO', 'obsidian')
('R2D61', 'C61PO', 'sandstone')
('R2D61', 'C61PO', 'wood')
('R2D62', 'C62PO', 'bedrock')
('R2D62', 'C62PO', 'brick')
('R2D62', 'C62PO', 'concrete')
('R2D62', 'C62PO', 'glass')
('R2D62', 'C62PO', 'gold')
('R2D62', 'C62PO', 'marble')
('R2D62', 'C62PO', 'obsidian')
('R2D62', 'C62PO', 'sandstone')
('R2D63', 'C63PO', 'bedrock')
('R2D63', 'C63PO', 'glass')
('R2D63', 'C63PO', 'gold')
('R2D63', 'C63PO', 'marble')
('R2D63', 'C63PO', 'obsidian')
('R2D63', 'C63PO', 'sandstone')
('R2D63', 'C63PO', 'wood')
('R2D64', 'C64PO', 'bedrock')
('R2D64', 'C64PO', 'concrete')
('R2D64', 'C64PO', 'gold')
('R2D64', 'C64PO', 'marble')
('R2D64', 'C64PO', 'obsidian')
('R2D64', 'C64PO', 'stone')
('R2D64', 'C64PO', 'wood')
('R2D65', 'C65PO', 'bedrock')
('R2D65', 'C65PO', 'brick')
('R2D65', 'C65PO', 'glass')
('R2D65', 'C65PO', 'gold')
('R2D65', 'C65PO', 'obsidian')
('R2D65', 'C65PO', 'sandstone')
('R2D65', 'C65PO', 'wood')
('R2D66', 'C66PO', 'bedrock')
('R2D66', 'C66PO', 'brick')
('R2D66', 'C66PO', 'gold')
('R2D66', 'C66PO', 'marble')
('R2D66', 'C66PO', 'obsidian')
('R2D66', 'C66PO', 'wood')
('R2D67', 'C67PO', 'bedrock')
('R2D67', 'C67PO', 'concrete')
('R2D67', 'C67PO', 'glass')
('R2D67', 'C67PO', 'obsidian')
('R2D67', 'C67PO', 'sandstone')
('R2D67', 'C67PO', 'stone')
('R2D67', 'C67PO', 'wood')
('R2D68', 'C68PO', 'bedrock')
('R2D68', 'C68PO', 'brick')
('R2D68', 'C68PO', 'concrete')
('R2D68', 'C68PO', 'glass')
('R2D68', 'C68PO', 'gold')
('R2D68', 'C68PO', 'marble')
('R2D68', 'C68PO', 'obsidian')
('R2D68', 'C68PO', 'sandstone')
('R2D68', 'C68PO', 'stone')
('R2D68', 'C68PO', 'wood')
('R2D69', 'C69PO', 'bedrock')
('R2D69', 'C69PO', 'brick')
('R2D69', 'C69PO', 'concrete')
('R2D69', 'C69PO', 'glass')
('R2D69', 'C69PO', 'gold')
('R2D69', 'C69PO', 'marble')
('R2D69', 'C69PO', 'obsidian')
('R2D7', 'C7PO', 'bedrock')
('R2D7', 'C7PO', 'concrete')
('R2D7', 'C7PO', 'glass')
('R2D7', 'C7PO', 'marble')
('R2D7', 'C7PO', 'obsidian')
('R2D7', 'C7PO', 'sandstone')
('R2D70', 'C70PO', 'bedrock')
('R2D70', 'C70PO', 'brick')
('R2D70', 'C70PO', 'concrete')
('R2D70', 'C70PO', 'glass')
('R2D70', 'C70PO', 'gold')
('R2D70', 'C70PO', 'marble')
('R2D70', 'C70PO', 'obsidian')
('R2D70', 'C70PO', 'stone')
('R2D71', 'C71PO', 'bedrock')
('R2D71', 'C71PO', 'concrete')
('R2D71', 'C71PO', 'glass')
('R2D71', 'C71PO', 'gold')
('R2D71', 'C71PO', 'marble')
('R2D71', 'C71PO', 'sandstone')
('R2D72', 'C72PO', 'bedrock')
('R2D72', 'C72PO', 'brick')
('R2D72', 'C72PO', 'concrete')
('R2D72', 'C72PO', 'glass')
('R2D72', 'C72PO', 'gold')
('R2D72', 'C72PO', 'obsidian')
('R2D73', 'C73PO', 'bedrock')
('R2D73', 'C73PO', 'brick')
('R2D73', 'C73PO', 'concrete')
('R2D73', 'C73PO', 'glass')
('R2D73', 'C73PO', 'gold')
('R2D73', 'C73PO', 'marble')
('R2D73', 'C73PO', 'obsidian')
('R2D73', 'C73PO', 'sandstone')
('R2D73', 'C73PO', 'stone')
('R2D73', 'C73PO', 'wood')
('R2D74', 'C74PO', 'bedrock')
('R2D74', 'C74PO', 'brick')
('R2D74', 'C74PO', 'glass')
('R2D74', 'C74PO', 'gold')
('R2D74', 'C74PO', 'marble')
('R2D74', 'C74PO', 'obsidian')
('R2D74', 'C74PO', 'sandstone')
('R2D74', 'C74PO', 'wood')
('R2D75', 'C75PO', 'bedrock')
('R2D75', 'C75PO', 'brick')
('R2D75', 'C75PO', 'concrete')
('R2D75', 'C75PO', 'glass')
('R2D75', 'C75PO', 'obsidian')
('R2D75', 'C75PO', 'sandstone')
('R2D75', 'C75PO', 'stone')
('R2D75', 'C75PO', 'wood')
('R2D76', 'C76PO', 'bedrock')
('R2D76', 'C76PO', 'brick')
('R2D76', 'C76PO', 'concrete')
('R2D76', 'C76PO', 'glass')
('R2D76', 'C76PO', 'gold')
('R2D76', 'C76PO', 'marble')
('R2D76', 'C76PO', 'obsidian')
('R2D76', 'C76PO', 'sandstone')
('R2D76', 'C76PO', 'stone')
('R2D76', 'C76PO', 'wood')
('R2D77', 'C77PO', 'bedrock')
('R2D77', 'C77PO', 'glass')
('R2D77', 'C77PO', 'marble')
('R2D77', 'C77PO', 'obsidian')
('R2D77', 'C77PO', 'sandstone')
('R2D77', 'C77PO', 'stone')
('R2D77', 'C77PO', 'wood')
('R2D78', 'C78PO', 'bedrock')
('R2D78', 'C78PO', 'brick')
('R2D78', 'C78PO', 'concrete')
('R2D78', 'C78PO', 'glass')
('R2D78', 'C78PO', 'gold')
('R2D78', 'C78PO', 'marble')
('R2D78', 'C78PO', 'obsidian')
('R2D78', 'C78PO', 'sandstone')
('R2D78', 'C78PO', 'stone')
('R2D78', 'C78PO', 'wood')
('R2D79', 'C79PO', 'bedrock')
('R2D79', 'C79PO', 'brick')
('R2D79', 'C79PO', 'concrete')
('R2D79', 'C79PO', 'glass')
('R2D79', 'C79PO', 'gold')
('R2D79', 'C79PO', 'marble')
('R2D79', 'C79PO', 'obsidian')
('R2D79', 'C79PO', 'sandstone')
('R2D79', 'C79PO', 'stone')
('R2D79', 'C79PO', 'wood')
('R2D8', 'C8PO', 'bedrock')
('R2D8', 'C8PO', 'brick')
('R2D8', 'C8PO', 'concrete')
('R2D8', 'C8PO', 'glass')
('R2D8', 'C8PO', 'gold')
('R2D8', 'C8PO', 'marble')
('R2D8', 'C8PO', 'obsidian')
('R2D8', 'C8PO', 'sandstone')
('R2D8', 'C8PO', 'stone')
('R2D8', 'C8PO', 'wood')
('R2D80', 'C80PO', 'bedrock')
('R2D80', 'C80PO', 'brick')
('R2D80', 'C80PO', 'concrete')
('R2D80', 'C80PO', 'gold')
('R2D80', 'C80PO', 'sandstone')
('R2D80', 'C80PO', 'stone')
('R2D80', 'C80PO', 'wood')
('R2D81', 'C81PO', 'bedrock')
('R2D81', 'C81PO', 'concrete')
('R2D81', 'C81PO', 'glass')
('R2D81', 'C81PO', 'marble')
('R2D81', 'C81PO', 'stone')
('R2D81', 'C81PO', 'wood')
('R2D82', 'C82PO', 'bedrock')
('R2D82', 'C82PO', 'brick')
('R2D82', 'C82PO', 'concrete')
('R2D82', 'C82PO', 'glass')
('R2D82', 'C82PO', 'gold')
('R2D82', 'C82PO', 'marble')
('R2D82', 'C82PO', 'obsidian')
('R2D82', 'C82PO', 'sandstone')
('R2D82', 'C82PO', 'stone')
('R2D82', 'C82PO', 'wood')
('R2D83', 'C83PO', 'bedrock')
('R2D83', 'C83PO', 'brick')
('R2D83', 'C83PO', 'concrete')
('R2D83', 'C83PO', 'gold')
('R2D83', 'C83PO', 'marble')
('R2D83', 'C83PO', 'sandstone')
('R2D83', 'C83PO', 'stone')
('R2D84', 'C84PO', 'bedrock')
('R2D84', 'C84PO', 'brick')
('R2D84', 'C84PO', 'concrete')
('R2D84', 'C84PO', 'glass')
('R2D84', 'C84PO', 'obsidian')
('R2D84', 'C84PO', 'stone')
('R2D85', 'C85PO', 'bedrock')
('R2D85', 'C85PO', 'brick')
('R2D85', 'C85PO', 'concrete')
('R2D85', 'C85PO', 'glass')
('R2D85', 'C85PO', 'gold')
('R2D85', 'C85PO', 'marble')
('R2D85', 'C85PO', 'sandstone')
('R2D85', 'C85PO', 'stone')
('R2D85', 'C85PO', 'wood')
('R2D86', 'C86PO', 'bedrock')
('R2D86', 'C86PO', 'brick')
('R2D86', 'C86PO', 'concrete')
('R2D86', 'C86PO', 'glass')
('R2D86', 'C86PO', 'gold')
('R2D86', 'C86PO', 'marble')
('R2D86', 'C86PO', 'obsidian')
('R2D86', 'C86PO', 'sandstone')
('R2D86', 'C86PO', 'stone')
('R2D86', 'C86PO', 'wood')
('R2D87', 'C87PO', 'bedrock')
('R2D87', 'C87PO', 'concrete')
('R2D87', 'C87PO', 'glass')
('R2D87', 'C87PO', 'gold')
('R2D87', 'C87PO', 'sandstone')
('R2D87', 'C87PO', 'stone')
('R2D88', 'C88PO', 'bedrock')
('R2D88', 'C88PO', 'brick')
('R2D88', 'C88PO', 'concrete')
('R2D88', 'C88PO', 'glass')
('R2D88', 'C88PO', 'gold')
('R2D88', 'C88PO', 'marble')
('R2D88', 'C88PO', 'obsidian')
